what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"pl_PL",1261304009640
processors,sysinfo,,,"1",1261304009640
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1261304009640
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1261304009640
java.specification.name,sysinfo,,,"Java Platform API Specification",1261304009640
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261304009640
java.specification.version,sysinfo,,,"1.6",1261304009640
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1261304009640
java.version,sysinfo,,,"1.6.0_17",1261304009640
java.vm.info,sysinfo,,,"mixed mode",1261304009640
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1261304009640
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1261304009640
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1261304009640
java.vm.specification.version,sysinfo,,,"1.0",1261304009640
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1261304009640
java.vm.version,sysinfo,,,"14.3-b01",1261304009640
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1261304009921
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1261304010125
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1261304010453
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1261304010468
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1261304010656
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1261304010765
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1261304011140
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1261304011359
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1261304011468
